test	duration_ms	status
tests::cli_parses_doctor_command_and_flags	854	pass
tests::cli_parses_security_audit_command_and_flags	814	pass
tests::cli_parses_gateway_status_command_and_json_flag	817	pass
tests::cli_parses_message_send_command	838	pass
tests::doctor_report_marks_config_load_failure_as_blocking	831	pass
tests::doctor_report_warns_when_docker_is_unavailable	882	pass
tests::cli_dispatch_rpc_status_returns_runtime_payload	836	pass
tests::cli_dispatch_rpc_send_returns_message_identifiers	834	pass
tests::cli_dispatch_rpc_sessions_list_returns_count_field	805	pass
gateway::tests::dispatcher_update_and_web_login_methods_report_expected_payloads	34811	pass
