test	duration_ms	status
channels::tests::exposes_channel_capabilities_and_wave1_order	863	pass
channels::tests::signal_driver_detects_source	789	pass
channels::tests::webchat_driver_detects_source	760	pass
channels::tests::normalize_chat_type_supports_dm_alias	833	pass
channels::tests::mention_gate_skips_when_required_and_not_mentioned	825	pass
channels::tests::mention_gate_with_bypass_allows_authorized_control_commands	815	pass
channels::tests::channel_message_action_aliases_parse	900	pass
channels::tests::channel_action_support_uses_channel_capabilities	796	pass
channels::tests::build_channel_transport_receipt_contains_adapter_and_route_metadata	809	pass
channels::tests::chunking_supports_length_and_newline_modes	776	pass
channels::tests::default_chunk_limit_matches_core_channel_defaults	774	pass
channels::tests::retry_backoff_policy_scales_and_caps	747	pass
channels::tests::wave2_drivers_detect_source_aliases	738	pass
channels::tests::normalize_channel_id_supports_wave2_aliases	773	pass
channels::tests::wave3_drivers_detect_source_aliases	739	pass
channels::tests::normalize_channel_id_supports_wave3_aliases	761	pass
channels::tests::wave4_drivers_detect_source_aliases	738	pass
channels::tests::normalize_channel_id_supports_wave4_aliases	817	pass
scheduler::tests::mention_activation_accepts_group_message_when_detection_unavailable	746	pass
scheduler::tests::mention_activation_bypasses_for_authorized_control_command	775	pass
gateway::tests::dispatcher_channels_methods_report_status_and_validate_logout	801	pass
gateway::tests::dispatcher_channels_status_rejects_unknown_params	793	pass
gateway::tests::dispatcher_channels_status_probe_false_sets_null_channel_last_probe_at	789	pass
gateway::tests::dispatcher_channels_logout_rejects_unknown_params	761	pass
gateway::tests::dispatcher_channels_logout_accepts_channel_alias	780	pass
gateway::tests::dispatcher_channels_status_reflects_runtime_event_snapshots	770	pass
gateway::tests::dispatcher_channels_status_tracks_payload_channel_alias_runtime	777	pass
gateway::tests::dispatcher_channels_status_tracks_wave3_payload_channel_alias_runtime	749	pass
gateway::tests::dispatcher_channels_status_tracks_wave4_payload_channel_alias_runtime	783	pass
gateway::tests::dispatcher_channels_logout_marks_runtime_offline	769	pass
gateway::tests::dispatcher_channels_logout_without_runtime_account_does_not_create_account	815	pass
gateway::tests::dispatcher_channels_status_ingests_channel_accounts_runtime_map	771	pass
gateway::tests::dispatcher_channels_status_honors_default_account_hints_from_runtime_payload	792	pass
gateway::tests::dispatcher_channels_status_ingests_nested_default_account_id_from_channels_map	787	pass
gateway::tests::dispatcher_channels_status_ingests_nested_snake_case_default_account_id_from_channels_map	793	pass
gateway::tests::dispatcher_channels_status_ingests_alias_channel_ids_in_runtime_maps	789	pass
gateway::tests::dispatcher_channels_status_includes_wave2_channel_catalog_entries	769	pass
gateway::tests::dispatcher_channels_status_ingests_wave2_alias_channel_ids_in_runtime_maps	816	pass
gateway::tests::dispatcher_channels_status_includes_wave3_channel_catalog_entries	766	pass
gateway::tests::dispatcher_channels_status_ingests_wave3_alias_channel_ids_in_runtime_maps	772	pass
gateway::tests::dispatcher_channels_status_includes_wave4_channel_catalog_entries	811	pass
gateway::tests::dispatcher_channels_status_ingests_wave4_alias_channel_ids_in_runtime_maps	814	pass
gateway::tests::dispatcher_channels_status_ingests_snake_case_runtime_maps	846	pass
gateway::tests::dispatcher_channels_status_tracks_inbound_when_channel_is_only_in_payload	766	pass
gateway::tests::dispatcher_chat_send_updates_webchat_runtime_outbound_activity	798	pass
gateway::tests::dispatcher_channel_runtime_store_path_persists_and_recovers_across_dispatchers	923	pass
gateway::tests::dispatcher_channels_status_defaults_to_unconfigured_unlinked_without_runtime	861	pass
gateway::tests::dispatcher_channels_status_probe_false_sets_null_account_last_probe_at	882	pass
gateway::tests::dispatcher_channels_status_probe_true_sets_account_last_probe_at	858	pass
gateway::tests::dispatcher_channels_status_ingests_extended_account_metadata_fields	842	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_probe_audit_and_application_payloads	812	pass
gateway::tests::dispatcher_channels_logout_matches_account_id_case_insensitively	765	pass
gateway::tests::dispatcher_channels_logout_blank_account_id_defaults_default	804	pass
gateway::tests::dispatcher_channels_status_canonicalizes_default_account_id_casing	829	pass
gateway::tests::dispatcher_channels_status_orders_default_account_first	854	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_account_name	782	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_display_name_alias	790	pass
gateway::tests::dispatcher_channels_status_ingests_snake_case_extended_metadata_fields	827	pass
gateway::tests::dispatcher_channels_status_parses_allow_from_string_list	773	pass
gateway::tests::dispatcher_channels_status_tracks_lifecycle_event_suffixes	822	pass
gateway::tests::dispatcher_channels_status_tracks_activity_event_suffixes	796	pass
gateway::tests::dispatcher_channels_status_tracks_mutation_activity_event_suffixes	771	pass
gateway::tests::dispatcher_channels_status_tracks_activity_suffixes_with_nested_account_aliases	773	pass
gateway::tests::dispatcher_channels_status_tracks_nested_channel_alias_activity_events	780	pass
gateway::tests::dispatcher_send_accepts_wave2_channel_aliases	788	pass
gateway::tests::dispatcher_send_accepts_wave3_channel_aliases	793	pass
gateway::tests::dispatcher_send_accepts_wave4_channel_aliases	795	pass
gateway::tests::dispatcher_send_method_follows_parity_contract	867	pass
gateway::tests::dispatcher_poll_method_follows_parity_contract	793	pass
gateway::tests::dispatcher_channel_acceptance_canary_covers_wave_channels	1073	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_channel_default_account_id_map_values	788	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_payload_default_account_id	804	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_nested_default_account_id	840	pass
gateway::tests::dispatcher_channels_status_parses_last_probe_at_from_string_number	781	pass
